STARLINK-4711           
Time(t),Position x(r_x),y(r_y),z(r_z),Velocity x(v_x),y(v_y),z(v_z)
2459905.6160883107,-965.4181271428412,-6452.678461666071,1941.6699749971515,4.982197910221366,0.9872931348404395,5.728470322232943
2459905.61678345,-664.2154813525092,-6378.715349767837,2281.017531328462,5.044113864880761,1.4747959250551537,5.567581966433101
2459905.6174785895,-359.9835391312748,-6275.663757513254,2609.933823432095,5.083027401513698,1.9555692671951097,5.381233620171898
2459905.618173729,-54.10987624488008,-6143.994294442219,2926.914711885754,5.098761033551122,2.4274083601929823,5.1702834751384
2459905.618868869,252.01070047816717,-5984.30869023516,3230.511258306525,5.091244808962147,2.8881517579540907,4.935703241622846
2459905.6195640084,556.9824112321671,-5797.336943530251,3519.33617206641,5.060516286130991,3.335691211330184,4.678573283973121
2459905.620259148,859.4149468607931,-5583.933831137867,3792.0701741751523,5.006720011688476,3.7679814643974137,4.400077153048403
2459905.6209542877,1157.9298653179617,-5345.074841285336,4047.468019013941,4.930106471139991,4.183049628321035,4.10149566352749
2459905.6216494273,1451.1669100057718,-5081.851557488197,4284.364148026335,4.83103053601723,4.579004092248073,3.7842005657630002
2459905.622344567,1737.7902205346397,-4795.466521856587,4501.677952450526,4.709949434110846,4.95404293853027,3.4496478616012056
2459905.623039706,2016.4942243312541,-4487.2278218904685,4698.418500413381,4.5674203737307915,5.306461609043361,3.099371051791133
2459905.623734846,2286.0102921461694,-4158.542164866496,4873.68947407417,4.404097249899736,5.634661190173244,2.7349729323158174
2459905.6244299854,2545.1113446801687,-3810.9096079366955,5026.692359088835,4.220727930659961,5.937153800011642,2.358119529998096
2459905.625125125,2792.618125406559,-3445.9158434841975,5156.730512850645,4.0181502405755545,6.212569797745394,1.9705315188658246
2459905.6258202647,3027.4043014959025,-3065.225137615775,5263.212087899847,3.797288066353359,6.459663229875732,1.5739766498435244
2459905.6265154043,3248.40150559432,-2670.572744372533,5345.65262200462,3.5591470647874854,6.677316962952274,1.1702618362598052
2459905.627210544,3454.604111048432,-2263.7570283893847,5403.677150097357,3.3048100838525123,6.864547262161914,0.7612251515266926
2459905.6279056836,3645.0737239516725,-1846.631329169992,5437.021833543978,3.035432316707796,7.020507819699518,0.34872776203657446
2459905.628600823,3818.9433764599926,-1421.0955999938533,5445.535103503367,2.75223620571748,7.1444932364321385,-0.06535418481189181
2459905.6292959624,3975.421308040552,-989.0881452139124,5429.178335539691,2.456506312913094,7.235941908817255,-0.47913742361699996
2459905.629991102,4113.794926183781,-552.5757443688403,5388.025955221669,2.1495829642575215,7.294438644754795,-0.8907408313815368
2459905.6306862417,4233.433389725314,-113.5465494878164,5322.265180642305,1.8328576721041168,7.319716140929236,-1.2982919115175664
2459905.6313813813,4333.790900777358,326.0000048971649,5232.195183113571,1.507766379339586,7.311656542085749,-1.6999360356527298
2459905.632076521,4414.409089943027,764.0619103473634,5118.22579034389,1.1757834882374734,7.270292098452095,-2.093844264037583
2459905.6327716606,4474.919136412636,1198.6436072286106,4980.875702178776,0.838415510244225,7.195805320726859,-2.478221392004463
2459905.6334668,4515.043501426255,1627.764999186831,4820.770225188354,0.4971945412406815,7.088528545590245,-2.8513139243320564
2459905.63416194,4534.59726499107,2049.470423512273,4638.6385310870655,0.15367157472081297,6.948942894968069,-3.211417953460407
2459905.6348570795,4533.48905655642,2461.8375404522653,4435.310445531095,-0.19059033198611822,6.7776766112459725,-3.5568869136245818
2459905.635552219,4511.721571347133,2862.9861034569954,4211.712775639643,-0.5340230200204631,6.575502750665798,-3.8861391788548003
2459905.6362473583,4469.391700472501,3251.086316079632,3968.865355529856,-0.8750600702700375,6.343336383713536,-4.197665266194536
2459905.636942498,4406.690071503961,3624.3682773056757,3707.875821040153,-1.212144864187509,6.082230315425684,-4.490035831777082
2459905.6376376376,4323.90045565746,3981.1285949829626,3429.9356025145507,-1.5437364090252714,5.7933716996636955,-4.76190731405774
2459905.638332777,4221.398471962757,4319.739330908678,3136.313896834053,-1.8683174660157789,5.47807642863003,-5.012029355421151
2459905.639027917,4099.6499800360525,4638.655309852825,2828.3520504007065,-2.184401507287852,5.137783583949931,-5.2392507895708285
2459905.6397230565,3959.209021492432,4936.421330627858,2507.4574255723014,-2.4905398341311984,4.774049063555552,-5.44252542227712
2459905.640418196,3800.715336924258,5211.678974316298,2175.096933742889,-2.7853285811829016,4.388538546103388,-5.620917341010588
2459905.6411133357,3624.891466732297,5463.17297054965,1832.7902648710258,-3.067415558193171,3.9830198175853533,-5.7736057050714935
2459905.6418084754,3432.5394470562383,5689.757084486608,1482.1028460910632,-3.335506879578489,3.559354493586793,-5.899888970381005
2459905.6425036145,3224.537259439627,5890.399363912949,1124.638806048079,-3.5883731674912096,3.11948947906701,-5.999188449522206
2459905.643198754,3001.83419479552,6064.187485504866,762.0325373039476,-3.8248562742976175,2.6654464273704583,-6.07105153270704
2459905.643893894,2765.4472691732176,6210.332197821412,395.942501398687,-4.043873960096863,2.1993137061724863,-6.115153585723172
2459905.6445890334,2516.45592484711,6328.171526572852,28.042523970699943,-4.2444258713425285,1.723235036960556,-6.13129983250264
2459905.645284173,2255.99710866794,6417.173658947636,-339.9857926467302,-4.425598209742202,1.2393992776790916,-6.11942616164583
2459905.6459793127,1985.2599396709613,6476.939332503514,-706.4609253879222,-4.586568092835169,0.7500296764555119,-6.079599284539184
2459905.6466744523,1705.4801301241473,6507.203573418324,-1069.7092741213387,-4.726607400638978,0.25737296512955515,-6.01201616978068
2459905.647369592,1417.9341916789313,6507.8367769086035,-1428.0729498091757,-4.845086083573389,-0.23631162658932098,-5.917002762745268
2459905.6480647316,1123.9334595710354,6478.845127479576,-1779.917464728703,-4.941474913527545,-0.7287633555894034,-5.795012007400801
